Category: All categories

Country,The Shawshank Redemption: (5/27/13 - 10/9/13),Now You See Me: (5/27/13 - 10/9/13)
Moldova,0,100
Kazakhstan,0,88
Belarus,0,74
Ukraine,5,53
Singapore,0,51
Russia,4,47
Hong Kong,0,43
Romania,0,38
Israel,0,36
Philippines,0,35
Thailand,0,34
Hungary,0,30
Australia,4,28
United Arab Emirates,0,28
Poland,3,26
Malaysia,0,25
New Zealand,0,25
Canada,3,24
Croatia,0,24
Bulgaria,0,22
Ireland,0,22
Pakistan,0,20
France,1,20
United States,2,19
Serbia,0,19
Portugal,0,18
Belgium,0,18
Morocco,0,18
Spain,0,17
Greece,0,17
Czech Republic,0,17
Sweden,0,17
United Kingdom,3,16
Netherlands,0,16
Turkey,8,16
South Korea,0,15
Switzerland,0,15
South Africa,0,14
Indonesia,0,14
Vietnam,0,14
Denmark,0,14
Norway,0,13
Finland,0,13
Taiwan,0,12
India,2,11
Egypt,0,10
Brazil,1,10
Austria,0,10
Italy,2,10
Saudi Arabia,0,9
Germany,1,7
Chile,0,7
Argentina,0,7
Mexico,0,4
Japan,2,0
