Category: All categories

Country,The Shawshank Redemption: (7/22/13 - 10/6/13),The Smurfs 2: (7/22/13 - 10/6/13)
Kazakhstan,0,100
Ecuador,0,84
Turkey,15,74
Israel,0,73
Peru,0,71
Ukraine,0,54
Colombia,0,52
Russia,7,44
Hungary,0,43
Poland,0,39
Venezuela,0,37
Mexico,0,36
Chile,0,31
Philippines,0,30
Portugal,0,29
Spain,0,26
Argentina,0,24
Belgium,0,23
Malaysia,0,22
Brazil,0,21
Australia,8,21
Canada,5,20
United Kingdom,9,17
India,5,16
Italy,0,15
France,0,15
Vietnam,0,14
Indonesia,0,14
United States,5,13
Germany,0,12
Netherlands,0,12
Japan,3,0
