Category: All categories

Country,The Shawshank Redemption: (6/13/13 - 8/10/13),Monsters University: (6/13/13 - 8/10/13)
Kazakhstan,0,100
Uruguay,0,81
Mexico,0,68
Belarus,0,65
Chile,0,59
Colombia,0,54
Argentina,0,51
Ecuador,0,50
Hong Kong,0,50
Ukraine,0,45
Singapore,0,40
Philippines,0,39
Russia,4,38
Peru,0,31
Venezuela,0,28
United States,2,26
Malaysia,0,24
Ireland,0,24
Australia,0,24
Hungary,0,22
Israel,0,21
United Kingdom,2,21
Canada,0,20
Japan,0,20
Indonesia,0,19
Spain,0,16
Romania,0,16
Poland,0,13
Thailand,0,10
Brazil,0,9
France,0,8
Germany,0,7
Turkey,7,6
Netherlands,0,6
Italy,0,5
India,2,4
