Category: All categories

Country,The Shawshank Redemption: (5/26/14 - 7/21/14),Edge of Tomorrow: (5/26/14 - 7/21/14)
South Korea,0,100
Belarus,0,70
Singapore,0,69
Taiwan,0,61
Kazakhstan,0,52
Russia,0,47
Ukraine,0,42
Hungary,0,38
Malaysia,0,35
Hong Kong,0,34
New Zealand,0,33
Romania,0,33
Philippines,0,33
Australia,0,32
Czech Republic,0,31
Thailand,0,28
Pakistan,0,26
Israel,0,25
Canada,0,25
United States,3,25
Poland,6,22
Chile,0,19
India,2,18
United Kingdom,3,18
France,0,17
Sweden,0,16
Indonesia,0,15
Italy,0,14
Turkey,8,14
Mexico,0,13
Vietnam,0,13
Spain,0,13
Japan,2,13
Argentina,0,13
Netherlands,0,12
Germany,0,11
Colombia,0,11
Brazil,0,10
