Category: All categories

Country,The Shawshank Redemption: (7/5/13 - 8/12/13),Pacific Rim: (7/5/13 - 8/12/13)
Singapore,0,100
Belarus,0,82
Philippines,0,81
Kazakhstan,0,77
Malaysia,0,65
Ukraine,0,65
Russia,0,52
Thailand,0,42
Mexico,0,41
Romania,0,38
Indonesia,0,37
New Zealand,0,36
Canada,0,35
Chile,0,34
Australia,0,32
United States,2,32
Hungary,0,28
Taiwan,0,26
Peru,0,25
Italy,0,24
United Kingdom,2,22
Vietnam,0,21
Argentina,0,19
France,0,19
Poland,0,18
Colombia,0,18
Venezuela,0,17
India,0,17
Belgium,0,16
Japan,0,16
Germany,0,15
Sweden,0,15
Netherlands,0,13
Spain,0,12
Turkey,6,10
Brazil,0,10
