Category: All categories

Country,The Shawshank Redemption: (3/1/14 - 4/10/14),300: Rise of an Empire: (3/1/14 - 4/10/14)
Philippines,0,100
Romania,0,91
Singapore,0,83
South Korea,0,71
Greece,0,70
India,0,68
Pakistan,0,68
United Arab Emirates,0,65
Malaysia,0,38
Ukraine,0,37
Thailand,0,36
Chile,0,34
Russia,0,33
Egypt,0,33
Australia,0,31
Poland,0,31
Canada,0,30
Mexico,0,27
United Kingdom,3,27
Spain,0,26
United States,2,25
Indonesia,0,24
Germany,0,21
Argentina,0,21
Colombia,0,20
Netherlands,0,20
Turkey,7,17
Brazil,0,12
France,0,9
Italy,0,8
