Category: All categories

Country,The Shawshank Redemption: (2/3/14 - 4/7/14),The Lego Movie: (2/3/14 - 4/7/14)
Singapore,0,100
Ireland,0,91
Canada,5,81
United States,4,71
United Kingdom,7,68
Australia,8,65
Philippines,0,58
Poland,9,45
Malaysia,0,37
Denmark,0,34
Hungary,0,33
South Korea,0,32
Russia,0,32
Netherlands,0,26
Belgium,0,26
Italy,0,24
South Africa,0,23
Sweden,0,20
Indonesia,0,20
Ukraine,0,17
France,0,16
Spain,0,14
Turkey,12,7
Thailand,0,12
Brazil,2,12
Mexico,0,11
Germany,0,10
India,4,8
