Category: All categories

Country,The Shawshank Redemption: (10/30/14 - 3/24/15),Big Hero 6: (10/30/14 - 3/24/15)
Philippines,0,100
Singapore,0,82
Malaysia,0,80
Kazakhstan,0,77
Japan,2,72
Taiwan,5,60
Vietnam,0,56
Puerto Rico,0,55
United States,3,46
Russia,5,42
Australia,6,39
Canada,4,39
New Zealand,0,39
Indonesia,0,39
Hong Kong,0,38
Belarus,0,38
United Arab Emirates,0,32
Thailand,0,31
United Kingdom,4,25
Ireland,0,25
Poland,5,24
Italy,2,24
Ukraine,7,23
Sweden,6,23
Pakistan,0,22
Denmark,0,21
Israel,0,21
Spain,2,21
Norway,0,19
Brazil,1,19
Portugal,0,18
Romania,0,18
South Korea,0,18
Hungary,0,15
Saudi Arabia,0,15
South Africa,0,15
Belgium,0,15
Turkey,8,15
Chile,0,15
Czech Republic,0,14
Netherlands,3,14
France,3,12
Iran,0,12
Finland,0,12
India,3,11
Mexico,2,11
Greece,0,11
Egypt,0,10
Venezuela,0,9
Argentina,0,9
Switzerland,0,8
Colombia,0,8
Peru,0,8
Germany,3,3
