Category: All categories

Country,The Shawshank Redemption: (9/26/15 - 11/5/15),The Martian: (9/26/15 - 11/5/15)
Belarus,0,100
Russia,3,87
Kazakhstan,0,80
Singapore,0,74
Ukraine,0,71
Australia,0,55
New Zealand,0,53
Ireland,0,52
Taiwan,0,44
Canada,0,44
United States,2,41
Norway,0,40
United Arab Emirates,0,39
United Kingdom,3,37
Poland,0,37
Serbia,0,35
Hong Kong,0,34
Malaysia,0,34
India,2,31
Italy,0,29
Denmark,0,29
Sweden,0,29
Philippines,0,28
Belgium,0,28
France,0,26
Turkey,4,24
Finland,0,23
Switzerland,0,23
Portugal,0,23
Romania,0,20
Thailand,0,20
Netherlands,0,20
Israel,0,20
South Korea,0,19
Brazil,0,17
Indonesia,0,17
Pakistan,0,17
Spain,0,13
Mexico,0,7
Germany,2,6
