Category: All categories

Country,The Shawshank Redemption: (5/9/16 - 6/22/16),X-Men: Apocalypse: (5/9/16 - 6/22/16)
Singapore,0,100
Philippines,0,93
Kazakhstan,0,67
Malaysia,0,56
Russia,0,47
Bangladesh,0,46
Mexico,0,46
Belarus,0,46
United Arab Emirates,0,41
India,2,40
Ecuador,0,39
Pakistan,0,37
Peru,0,36
Ukraine,0,35
United States,2,34
Ireland,0,34
Canada,0,32
Australia,0,32
Chile,0,31
United Kingdom,2,31
New Zealand,0,30
Indonesia,0,30
Colombia,0,30
Thailand,0,25
Venezuela,0,25
Argentina,0,24
Romania,0,23
South Africa,0,20
Brazil,0,16
Spain,0,16
France,0,15
Vietnam,0,15
Italy,0,15
Poland,0,15
Turkey,5,15
Egypt,0,11
Sweden,0,10
Netherlands,0,10
Germany,2,9
