Category: All categories

Country,The Shawshank Redemption: (5/16/14 - 6/16/14),X-Men: Days of Future Past: (5/16/14 - 6/16/14)
Singapore,0,100
Philippines,0,74
Malaysia,0,35
Mexico,0,34
Pakistan,0,33
South Korea,0,33
New Zealand,0,32
Australia,0,31
United States,2,31
Canada,0,30
United Arab Emirates,0,30
India,0,28
Ireland,0,28
United Kingdom,2,27
Russia,0,26
Chile,0,22
Peru,0,22
Taiwan,0,21
Thailand,0,19
Ukraine,0,19
France,0,18
Colombia,0,17
Romania,0,16
Argentina,0,16
Italy,0,15
Vietnam,0,15
Brazil,0,14
Indonesia,0,13
Spain,0,10
Turkey,4,9
Netherlands,0,8
Poland,0,7
Germany,0,7
Japan,0,2
