Category: All categories

Country,The Shawshank Redemption: (6/10/15 - 9/30/15),Minions: (6/10/15 - 9/30/15)
Honduras,0,100
Nicaragua,0,87
Argentina,0,79
Uruguay,0,78
Paraguay,0,71
El Salvador,0,67
Mexico,0,67
Guatemala,0,61
Chile,0,57
Panama,0,55
Costa Rica,0,50
Philippines,0,50
Colombia,0,44
Puerto Rico,0,44
Moldova,0,44
Latvia,0,43
Taiwan,1,40
Ecuador,0,39
Spain,0,35
Portugal,0,35
Hong Kong,0,35
Peru,0,34
Bolivia,0,32
Indonesia,0,32
Poland,1,32
Brazil,0,31
Kazakhstan,0,31
Dominican Republic,0,31
Singapore,0,30
Slovakia,0,30
Romania,0,29
Venezuela,0,29
Belgium,0,29
Netherlands,0,28
France,0,28
Germany,0,28
Ireland,0,27
Austria,0,27
New Zealand,0,27
Italy,0,26
Belarus,0,26
Russia,1,26
Bulgaria,0,25
Czech Republic,0,25
United Kingdom,1,25
Australia,1,25
Slovenia,0,24
Canada,1,24
Croatia,0,24
Switzerland,0,24
Vietnam,0,24
United States,1,23
Ukraine,2,23
South Africa,0,22
Serbia,0,22
South Korea,0,21
Malaysia,0,21
Denmark,0,20
Hungary,0,19
United Arab Emirates,0,17
Israel,0,17
Bangladesh,0,17
Norway,0,17
Sweden,0,14
Pakistan,0,14
Greece,0,13
Finland,0,13
India,1,12
Thailand,0,11
Morocco,0,8
Saudi Arabia,0,7
Egypt,0,7
Iran,0,6
Japan,0,5
Turkey,2,3
