Category: All categories

Country,The Shawshank Redemption: (2015),The Lovers: (2015)
New Zealand,100,0
Kazakhstan,98,0
Ukraine,91,0
Turkey,89,15
Ireland,67,0
Russia,63,8
Taiwan,61,0
South Africa,0,60
United Kingdom,58,30
Israel,58,0
Poland,56,14
Australia,56,38
South Korea,55,0
Philippines,0,55
Romania,55,30
Denmark,54,0
Egypt,51,0
Canada,51,27
Sweden,50,31
Hungary,50,0
Pakistan,44,0
United States,42,27
India,40,25
Greece,0,39
Saudi Arabia,37,0
Netherlands,35,16
Thailand,32,0
Germany,28,12
Argentina,23,26
France,24,11
Japan,24,0
Italy,23,15
Indonesia,13,22
Mexico,21,17
Spain,18,21
Brazil,17,16
