Category: All categories

Country,The Shawshank Redemption: (6/18/13 - 10/29/13),Despicable Me 2: (6/18/13 - 10/29/13)
Kazakhstan,0,100
Moldova,0,93
Philippines,0,93
El Salvador,0,86
Belarus,0,83
Puerto Rico,0,82
Latvia,0,77
Mexico,0,74
Costa Rica,0,70
Singapore,0,65
Guatemala,0,62
Uruguay,0,55
Lithuania,0,55
Malaysia,0,54
Russia,4,54
Ukraine,0,50
Colombia,0,48
Ecuador,0,45
Argentina,0,43
Hungary,0,40
Thailand,0,37
New Zealand,0,37
Indonesia,0,35
Chile,0,34
United Arab Emirates,0,34
Czech Republic,0,29
Australia,1,36
Vietnam,0,29
Peru,0,28
United Kingdom,4,28
Ireland,0,28
Venezuela,0,28
Romania,0,28
Canada,2,27
Brazil,1,27
United States,2,27
Bulgaria,0,26
Slovakia,0,26
South Africa,0,26
Israel,0,25
Pakistan,0,25
Serbia,0,20
Greece,0,19
Portugal,0,19
Italy,2,19
France,1,19
Belgium,0,18
Sweden,0,18
South Korea,0,18
Spain,0,18
Switzerland,0,17
Netherlands,0,16
Denmark,0,13
Austria,0,13
Finland,0,12
Germany,1,13
Poland,3,12
Saudi Arabia,0,11
Egypt,0,10
India,2,9
Turkey,7,8
Japan,1,2
