Category: All categories

Country,The Shawshank Redemption: (12/18/14 - 2/21/15),Into the Woods: (12/18/14 - 2/21/15)
Philippines,0,100
United States,5,82
Australia,8,81
Singapore,0,76
New Zealand,0,61
Malaysia,0,54
Canada,6,52
United Kingdom,7,52
Ireland,0,50
United Arab Emirates,0,49
Pakistan,0,34
Greece,0,30
Russia,9,29
Thailand,0,29
Spain,0,27
Taiwan,0,24
Ukraine,0,24
Romania,0,21
Brazil,0,18
Poland,8,16
Netherlands,0,15
Turkey,14,6
Germany,6,11
France,0,11
Vietnam,0,11
Mexico,0,10
Indonesia,0,8
Italy,0,6
India,6,5
Japan,4,0
