Category: All categories

Country,The Shawshank Redemption: (2013),Legends of Oz: Dorothy's Return: (2013)
Turkey,100,0
Ukraine,74,0
New Zealand,68,0
Ireland,65,0
Norway,60,0
Taiwan,55,0
Australia,55,0
Russia,54,0
Romania,54,0
Israel,53,0
Denmark,52,0
Hungary,52,0
United Kingdom,51,0
Sweden,51,0
Canada,44,0
Poland,44,0
United States,37,1
Chile,33,0
Netherlands,33,0
India,32,0
Italy,31,0
Argentina,25,0
Japan,23,0
France,19,0
Thailand,18,0
Germany,18,0
Mexico,18,0
Brazil,14,0
Indonesia,13,0
Spain,12,0
