Category: All categories

Country,The Shawshank Redemption: (3/26/14 - 6/11/14),Rio 2: (3/26/14 - 6/11/14)
Pakistan,0,100
Ecuador,0,96
Mexico,0,81
Colombia,0,78
Peru,0,71
Philippines,0,69
Romania,0,67
Chile,0,61
Brazil,2,59
United Arab Emirates,0,58
Argentina,0,56
Venezuela,0,53
Vietnam,0,41
Malaysia,0,31
Poland,8,30
France,0,29
India,3,25
United States,5,23
Canada,6,23
Spain,0,22
Turkey,12,20
United Kingdom,8,18
Italy,0,17
Netherlands,0,16
Indonesia,0,16
Thailand,0,15
Germany,0,11
Australia,6,11
Japan,3,0
