Category: All categories

Country,The Shawshank Redemption: (6/5/14 - 10/5/14),How to Train Your Dragon 2: (6/5/14 - 10/5/14)
Kazakhstan,0,100
Moldova,0,92
Philippines,0,71
Belarus,0,67
Russia,4,58
South Korea,0,57
Ukraine,6,54
Poland,5,48
Sri Lanka,0,48
Singapore,0,45
United Arab Emirates,0,43
Malaysia,0,36
Australia,5,35
Chile,0,34
Czech Republic,0,33
Hungary,0,32
New Zealand,0,31
Mexico,0,31
Pakistan,0,29
Thailand,0,28
Romania,0,28
Israel,0,26
Croatia,0,24
Canada,4,24
Taiwan,0,23
Egypt,0,22
Turkey,8,22
Ecuador,0,22
France,2,21
Brazil,1,21
Indonesia,0,20
Vietnam,0,20
Sweden,0,20
Italy,2,20
United States,2,20
India,3,19
Algeria,0,19
United Kingdom,9,40
Denmark,0,17
Norway,0,17
Morocco,0,17
Austria,0,17
Ireland,0,17
Belgium,0,16
Switzerland,0,16
Peru,0,16
Argentina,0,16
Saudi Arabia,0,15
Colombia,0,15
Spain,0,14
Portugal,0,14
South Africa,0,13
Venezuela,0,13
Greece,0,11
Germany,2,11
Netherlands,0,9
Japan,2,0
