Category: All categories

Country,The Shawshank Redemption: (4/18/13 - 6/23/13),Iron Man 3: (4/18/13 - 6/23/13)
Philippines,0,100
Singapore,0,85
Malaysia,0,71
Dominican Republic,0,66
Hong Kong,0,62
Ecuador,0,57
Mexico,0,56
Indonesia,0,55
Guatemala,0,53
India,1,52
Chile,0,51
Bangladesh,0,49
United Arab Emirates,0,45
Thailand,0,43
Vietnam,0,42
Costa Rica,0,41
Pakistan,0,37
United States,1,36
Peru,0,34
New Zealand,0,33
Colombia,0,33
Australia,0,33
Canada,2,32
Romania,0,31
Argentina,0,31
Italy,0,30
Ireland,0,29
United Kingdom,2,28
Czech Republic,0,28
Venezuela,0,27
Poland,0,26
South Africa,0,26
France,0,27
Greece,0,21
Bulgaria,0,19
Norway,0,18
Turkey,4,18
Belgium,0,17
Egypt,0,16
South Korea,0,15
Spain,0,15
Switzerland,0,15
Portugal,0,15
Austria,0,14
Denmark,0,14
Sweden,0,13
Taiwan,0,13
Israel,0,13
Hungary,0,13
Netherlands,0,13
Germany,0,12
Saudi Arabia,0,9
Ukraine,0,7
Brazil,0,6
Russia,0,5
Japan,1,1
