Category: All categories

Country,The Shawshank Redemption: (3/28/15 - 5/4/15),Furious 7: (3/28/15 - 5/4/15)
Mauritius,0,100
Trinidad & Tobago,0,92
Albania,0,73
Kyrgyzstan,0,70
Pakistan,0,68
Kazakhstan,0,58
Nepal,0,54
Malaysia,0,49
Moldova,0,49
Romania,0,48
Sri Lanka,0,47
India,0,42
Philippines,0,40
Indonesia,0,39
Thailand,0,39
United Arab Emirates,0,39
Qatar,0,36
South Africa,0,35
Ukraine,0,34
Latvia,0,34
Bangladesh,0,32
Belarus,0,32
Singapore,0,31
Puerto Rico,0,30
Israel,0,29
Vietnam,0,28
Russia,0,28
Bulgaria,0,28
Portugal,0,26
Bosnia & Herzegovina,0,26
Kenya,0,25
Kuwait,0,25
New Zealand,0,24
Poland,0,24
Brazil,0,22
Turkey,1,22
Italy,0,21
Jordan,0,21
Bolivia,0,21
Australia,0,35
United States,0,25
Nigeria,0,20
Lithuania,0,19
United Kingdom,1,38
Azerbaijan,0,18
Egypt,0,17
Canada,0,17
Ireland,0,16
Algeria,0,16
Norway,0,15
Croatia,0,15
Morocco,0,15
France,1,39
Greece,0,14
Saudi Arabia,0,14
Serbia,0,14
Austria,0,14
Switzerland,0,14
Belgium,0,13
Slovakia,0,13
Czech Republic,0,12
Netherlands,0,12
Sweden,0,11
Germany,0,11
Hong Kong,0,11
Hungary,0,11
Denmark,0,10
Spain,0,9
Finland,0,7
South Korea,0,7
Iran,0,5
Taiwan,0,5
Mexico,0,30
Chile,0,3
Colombia,0,3
Argentina,0,2
Japan,0,1
