Category: All categories

Country,The Shawshank Redemption: (4/21/16 - 6/1/16),Captain America: Civil War: (4/21/16 - 6/1/16)
Philippines,0,100
Singapore,0,83
Bangladesh,0,68
Malaysia,0,62
India,1,61
United States,2,59
United Arab Emirates,0,50
Indonesia,0,50
Mexico,0,46
Pakistan,0,45
Canada,0,43
Ecuador,0,42
Australia,0,29
New Zealand,0,40
United Kingdom,0,27
Ireland,0,38
Peru,0,37
Brazil,0,34
South Korea,0,33
Thailand,0,31
Hong Kong,0,30
Chile,0,29
Vietnam,0,28
Venezuela,0,26
South Africa,0,26
Colombia,0,23
Argentina,0,21
Italy,0,20
Romania,0,19
Turkey,4,18
France,0,26
Spain,0,15
Egypt,0,15
Sweden,0,12
Saudi Arabia,0,12
Netherlands,0,11
Germany,0,31
Poland,0,4
Russia,0,3
