Category: All categories

Country,The Shawshank Redemption: (12/15/15 - 3/31/16),The Revenant: (12/15/15 - 3/31/16)
Kazakhstan,0,100
Kyrgyzstan,0,88
Armenia,0,81
Moldova,0,69
Belarus,0,66
Georgia,0,65
Russia,2,62
Ukraine,4,50
Azerbaijan,0,43
Ireland,0,43
Romania,0,43
Canada,2,42
United States,2,38
New Zealand,0,35
Australia,1,24
Denmark,0,34
United Kingdom,1,31
United Arab Emirates,0,32
Singapore,0,31
Norway,0,31
Bangladesh,0,30
Sweden,0,27
Netherlands,0,27
Croatia,0,27
Greece,0,26
Taiwan,0,26
Belgium,0,26
Egypt,0,26
Pakistan,0,26
Switzerland,0,25
Lithuania,0,25
Serbia,0,25
France,1,33
Italy,1,24
Tunisia,0,23
Finland,0,23
Czech Republic,0,22
Philippines,0,21
Portugal,0,21
Austria,0,21
India,2,20
Slovakia,0,20
Germany,1,23
Iran,0,19
Saudi Arabia,0,18
Hong Kong,0,18
Chile,0,18
South Africa,0,18
Morocco,0,17
Turkey,4,16
Malaysia,0,15
Mexico,0,15
Bulgaria,0,15
Algeria,0,15
Israel,0,14
Hungary,0,12
Argentina,0,11
Indonesia,0,11
South Korea,0,10
Thailand,0,10
Spain,0,9
Venezuela,0,8
Colombia,0,7
Peru,0,7
Poland,2,6
Vietnam,0,4
Brazil,1,3
Japan,1,0
