Category: All categories

Country,The Shawshank Redemption: (4/19/15 - 5/31/15),Avengers: Age of Ultron: (4/19/15 - 5/31/15)
Singapore,0,100
Philippines,0,98
Kazakhstan,0,75
Hong Kong,0,75
India,1,68
Malaysia,0,62
United States,1,27
Taiwan,0,50
United Arab Emirates,0,49
Mexico,0,48
Bangladesh,0,48
Russia,0,47
Thailand,0,46
Pakistan,0,44
New Zealand,0,44
Canada,2,43
Australia,0,28
Belarus,0,42
United Kingdom,1,36
Ukraine,0,40
Indonesia,0,39
Ecuador,0,38
Ireland,0,36
Bolivia,0,36
Brazil,0,34
Vietnam,0,32
Turkey,2,31
Peru,0,31
Hungary,0,29
Italy,0,29
South Africa,0,28
Chile,0,27
Poland,0,26
South Korea,0,25
Czech Republic,0,24
France,1,36
Romania,0,22
Norway,0,20
Colombia,0,20
Austria,0,19
Denmark,0,18
Venezuela,0,17
Germany,0,17
Greece,0,16
Argentina,0,16
Portugal,0,16
Egypt,0,16
Switzerland,0,16
Israel,0,16
Belgium,0,15
Sweden,0,14
Netherlands,0,14
Spain,0,9
Japan,0,2
