Category: All categories

Country,The Shawshank Redemption: (7/4/14 - 8/31/14),Dawn of the Planet of the Apes: (7/4/14 - 8/31/14)
Kazakhstan,0,100
South Korea,0,48
Singapore,0,46
Russia,0,40
New Zealand,0,36
United Kingdom,2,36
Ireland,0,32
United States,2,35
Australia,3,29
Philippines,0,29
Romania,0,28
Canada,0,26
Pakistan,0,25
Malaysia,0,25
Israel,0,25
Ukraine,0,22
Turkey,8,22
India,2,22
Brazil,0,21
Italy,0,18
Thailand,0,17
Vietnam,0,16
Netherlands,0,16
Germany,1,12
Poland,0,15
Indonesia,0,13
Spain,0,10
France,0,3
Japan,2,0
