Category: All categories

Country,The Shawshank Redemption: (2/16/14 - 8/10/14),The Grand Budapest Hotel: (2/16/14 - 8/10/14)
South Korea,0,100
Hungary,0,85
New Zealand,0,81
Singapore,0,79
Australia,17,78
Ireland,0,63
Canada,14,63
Switzerland,0,61
Serbia,0,61
Russia,14,60
United Kingdom,8,26
Italy,8,56
Czech Republic,0,55
Sweden,0,55
United States,12,54
Austria,0,52
Spain,0,51
Taiwan,0,50
Greece,0,48
Ukraine,22,47
Netherlands,12,46
Norway,0,44
France,4,44
Belgium,0,43
Poland,21,42
Israel,0,42
Denmark,0,41
Romania,0,41
Germany,4,27
Portugal,0,38
Finland,0,35
Argentina,10,33
Chile,0,31
Turkey,30,17
Philippines,0,26
South Africa,0,26
Malaysia,0,18
Mexico,6,18
India,9,11
Japan,8,10
Brazil,5,8
Indonesia,0,6
