Category: All categories

Country,The Shawshank Redemption: (2/25/16 - 4/30/16),London Has Fallen: (2/25/16 - 4/30/16)
Philippines,0,100
United Arab Emirates,0,100
Singapore,0,89
Malaysia,0,84
United Kingdom,8,77
Ireland,0,63
Kazakhstan,0,62
Pakistan,0,60
South Africa,0,53
Australia,11,52
Indonesia,0,51
Canada,9,46
United States,11,45
Saudi Arabia,0,44
Thailand,0,43
Romania,0,42
India,7,39
Egypt,0,38
Ukraine,0,38
Russia,10,37
Netherlands,0,37
Sweden,0,32
Germany,5,32
France,3,20
Turkey,18,8
Poland,10,0
Mexico,0,9
