Category: All categories

Country,The Shawshank Redemption: (7/22/14 - 9/16/14),The Expendables 3: (7/22/14 - 9/16/14)
Kazakhstan,0,100
Philippines,0,83
Belarus,0,81
Pakistan,0,74
Vietnam,0,62
United Arab Emirates,0,61
Ukraine,0,54
Turkey,8,52
Singapore,0,50
Russia,0,48
Romania,0,47
Malaysia,0,46
Egypt,0,42
India,3,38
Portugal,0,36
Israel,0,35
Poland,0,33
Peru,0,31
Canada,0,31
Australia,6,30
Taiwan,0,29
Mexico,0,29
Thailand,0,28
France,3,41
Austria,0,27
Belgium,0,27
Indonesia,0,27
Brazil,0,27
Saudi Arabia,0,26
United Kingdom,8,42
Spain,0,25
Germany,2,32
Netherlands,0,24
Chile,0,23
Sweden,0,23
United States,3,22
South Africa,0,21
Iran,0,21
Argentina,0,20
Venezuela,0,19
Italy,0,19
Colombia,0,18
Bolivia,0,17
