Category: All categories

Country,The Shawshank Redemption: (11/11/15 - 12/18/15),The Hunger Games: Mockingjay – Part 2: (11/11/15 - 12/18/15)
Philippines,0,100
Singapore,0,93
New Zealand,0,85
United States,1,23
Australia,3,32
Chile,0,68
Spain,0,67
Mexico,0,65
Malaysia,0,61
United Kingdom,3,33
Canada,0,54
South Korea,0,53
Russia,0,52
Colombia,0,52
Italy,0,49
Indonesia,0,46
Argentina,0,45
Peru,0,44
Thailand,0,42
Ukraine,0,41
Sweden,0,37
Germany,2,35
Netherlands,0,32
Brazil,0,27
Poland,0,23
France,6,53
India,5,15
Turkey,12,0
