Category: Arts & Entertainment

Country,The Shawshank Redemption: (2016),Deadpool: (2016)
Mexico,0,100
Philippines,0,88
Puerto Rico,0,87
El Salvador,0,85
Costa Rica,0,84
Australia,1,83
United States,1,81
Honduras,0,81
Bolivia,0,80
Chile,0,79
Canada,1,79
Guatemala,0,76
Ecuador,0,76
Singapore,0,75
Paraguay,0,69
Panama,0,69
United Kingdom,1,68
New Zealand,0,65
Malaysia,0,64
Sri Lanka,0,63
Brazil,0,61
Ireland,0,61
Dominican Republic,0,60
Peru,0,57
Colombia,0,56
Venezuela,0,55
Czech Republic,0,53
Uruguay,0,52
Argentina,0,52
France,0,52
Hungary,0,51
Poland,0,51
United Arab Emirates,0,51
Turkey,0,48
Norway,0,46
Bangladesh,0,45
Romania,0,44
South Africa,0,44
Portugal,0,43
India,1,41
Croatia,0,41
Slovakia,0,40
Spain,0,39
Sweden,0,39
Denmark,0,38
Hong Kong,0,38
Pakistan,0,36
Indonesia,0,36
Belgium,0,35
Germany,0,33
Serbia,0,33
Greece,0,32
Finland,0,31
Italy,0,31
Austria,0,31
Switzerland,0,30
Thailand,0,29
Netherlands,0,27
Bulgaria,0,27
Israel,0,26
Egypt,3,24
Vietnam,0,24
Nigeria,0,23
Morocco,0,23
Saudi Arabia,0,19
Algeria,0,15
Russia,0,14
South Korea,0,13
Ukraine,0,11
Iran,0,11
Taiwan,0,8
Japan,0,2
