Category: Arts & Entertainment

Country,The Shawshank Redemption: (8/1/14 - 7/15/15),American Sniper: (8/1/14 - 7/15/15)
United States,5,100
Romania,0,65
Australia,9,62
Canada,7,62
Ireland,0,60
Italy,0,58
New Zealand,0,55
Philippines,0,54
Pakistan,0,51
France,0,47
United Kingdom,7,44
United Arab Emirates,0,42
Denmark,0,35
Switzerland,0,33
Thailand,0,33
Belgium,0,33
Sweden,0,28
India,9,28
South Africa,0,27
Netherlands,0,25
Germany,0,21
Indonesia,0,16
Poland,0,15
Mexico,0,12
Turkey,0,12
Argentina,0,12
Spain,0,10
Brazil,0,6
