Category: Arts & Entertainment

Country,The Shawshank Redemption: (3/1/14 - 3/31/15),Lucy: (3/1/14 - 3/31/15)
Philippines,0,100
Réunion,0,93
United Kingdom,2,90
Australia,3,78
Ireland,0,61
New Zealand,0,60
France,0,51
Canada,2,50
United States,1,49
Singapore,0,44
Panama,0,43
Romania,0,41
United Arab Emirates,0,40
Puerto Rico,0,40
Malaysia,0,40
Tunisia,0,40
Belgium,0,35
Mexico,0,34
Chile,0,33
Portugal,0,33
Dominican Republic,0,33
Kenya,0,33
South Africa,0,33
Costa Rica,0,32
Morocco,0,32
Brazil,0,32
Pakistan,0,31
Switzerland,0,31
Hungary,0,30
Turkey,0,30
Croatia,0,29
Ecuador,0,29
Uruguay,0,29
Spain,0,28
Peru,0,28
Italy,0,28
Hong Kong,0,27
Austria,0,27
Poland,0,27
Norway,0,27
Egypt,0,26
Czech Republic,0,26
Denmark,0,26
Germany,0,25
Algeria,0,25
Argentina,0,24
Colombia,0,24
Netherlands,0,24
Sweden,0,24
Slovakia,0,23
Serbia,0,22
Greece,0,22
Saudi Arabia,0,21
Indonesia,0,21
Bangladesh,0,21
Bolivia,0,20
Bulgaria,0,20
Venezuela,0,18
Nigeria,0,18
Israel,0,17
Thailand,0,16
India,2,16
Finland,0,16
Taiwan,0,16
Vietnam,0,11
South Korea,0,10
Iran,0,10
Japan,0,3
Russia,0,3
