Category: Arts & Entertainment

Country,The Shawshank Redemption: (11/1/13 - 10/31/14),"I, Frankenstein: (11/1/13 - 10/31/14)"
Kazakhstan,0,100
Ukraine,0,97
Belarus,0,91
Russia,0,76
Philippines,0,58
Romania,0,44
Malaysia,0,43
Singapore,0,42
Thailand,0,33
Pakistan,0,33
Poland,0,32
Australia,11,24
Canada,7,23
Mexico,0,22
United Kingdom,8,21
Indonesia,0,20
Turkey,0,20
United States,5,18
Colombia,0,17
France,0,16
Argentina,0,15
Germany,0,15
India,7,14
Brazil,0,13
Italy,0,13
Spain,0,12
Netherlands,0,11
Vietnam,0,9
