Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Fantastic Four: (2015)
Singapore,0,100
Philippines,0,89
United States,4,79
Canada,6,73
Australia,7,69
Malaysia,0,68
Pakistan,0,66
New Zealand,0,65
United Arab Emirates,0,64
United Kingdom,7,63
Ireland,0,54
Indonesia,0,45
India,8,45
South Africa,0,44
Sweden,0,41
Hong Kong,0,39
Romania,0,37
Norway,0,37
Thailand,0,36
Egypt,18,33
Denmark,0,31
Greece,0,31
Netherlands,0,27
Germany,0,25
Austria,0,25
Saudi Arabia,0,20
Mexico,0,18
Argentina,0,10
Poland,0,8
Vietnam,0,8
Italy,0,7
Turkey,0,7
Spain,0,7
France,0,6
Brazil,0,6
