Category: Arts & Entertainment

Country,The Shawshank Redemption: (7/1/14 - 10/31/15),Fury: (7/1/14 - 10/31/15)
Australia,5,100
New Zealand,0,91
Canada,3,83
United States,2,75
United Kingdom,4,72
Pakistan,0,72
Philippines,0,71
Ireland,0,70
Singapore,0,68
Sweden,0,68
Romania,0,63
Croatia,0,59
Bangladesh,0,59
United Arab Emirates,0,58
Norway,0,57
France,0,53
Finland,0,49
Denmark,0,45
Sri Lanka,0,44
Serbia,0,43
Belgium,0,42
Hungary,0,41
Malaysia,0,40
India,4,40
Netherlands,0,38
Greece,0,37
Switzerland,0,37
South Africa,0,36
Italy,0,36
Hong Kong,0,35
Czech Republic,0,34
Turkey,2,33
Slovakia,0,31
Austria,0,31
Germany,0,30
Chile,0,29
Portugal,0,29
Indonesia,0,27
Thailand,0,26
Mexico,0,25
Poland,0,25
Saudi Arabia,0,24
Bulgaria,0,24
Israel,0,24
Egypt,8,24
Argentina,0,23
Morocco,0,23
Spain,0,22
Nigeria,0,22
Algeria,0,21
Iran,0,20
South Korea,0,19
Ecuador,0,17
Venezuela,0,16
Brazil,0,15
Peru,0,15
Colombia,0,14
Bolivia,0,13
Russia,0,12
Taiwan,0,10
Ukraine,0,10
Vietnam,0,8
Japan,0,4
