Category: Arts & Entertainment

Country,The Shawshank Redemption: (2014),Guardians of the Galaxy: (2014)
Philippines,0,100
United States,2,99
Singapore,0,95
Canada,3,91
New Zealand,0,89
Australia,4,86
Puerto Rico,0,85
United Kingdom,3,77
Ireland,0,67
Malaysia,0,52
Sweden,0,47
Denmark,0,47
Norway,0,45
United Arab Emirates,0,43
Romania,0,40
Austria,0,37
Croatia,0,36
South Africa,0,35
Pakistan,0,35
Hong Kong,0,34
Germany,0,34
Bangladesh,0,32
Finland,0,30
Serbia,0,30
Netherlands,0,29
Thailand,0,26
Israel,0,24
Hungary,0,23
Czech Republic,0,23
Portugal,0,23
India,3,23
Greece,0,21
Switzerland,0,20
Belgium,0,20
Indonesia,0,19
Egypt,0,18
South Korea,0,18
Mexico,0,16
Chile,0,12
Poland,0,12
Saudi Arabia,0,10
Argentina,0,9
Vietnam,0,8
Taiwan,0,8
Turkey,0,8
France,0,7
Spain,0,7
Brazil,0,6
Italy,0,6
Russia,0,3
Japan,0,2
