Category: Arts & Entertainment

Country,The Shawshank Redemption: (2014),Maleficent: (2014)
Philippines,0,100
Puerto Rico,0,54
Singapore,0,49
Georgia,0,48
Malaysia,0,44
United Arab Emirates,0,44
Kuwait,0,43
Romania,0,39
United States,1,38
Australia,2,35
Thailand,0,33
New Zealand,0,31
Italy,0,30
Canada,2,30
Pakistan,0,29
United Kingdom,2,28
Ireland,0,24
Hong Kong,0,23
Serbia,0,22
Sweden,0,21
Norway,0,20
Greece,0,20
Saudi Arabia,0,19
Croatia,0,18
Indonesia,0,16
Denmark,0,16
Netherlands,0,15
South Africa,0,15
Bulgaria,0,15
Austria,0,15
Egypt,0,15
Germany,0,13
Belgium,0,12
Israel,0,12
Finland,0,12
Portugal,0,11
Vietnam,0,11
Switzerland,0,10
Hungary,0,8
Mexico,0,8
Iran,0,7
South Korea,0,7
Poland,0,7
India,2,6
Taiwan,0,6
Turkey,0,4
Brazil,0,4
Argentina,0,3
Colombia,0,3
Spain,0,3
France,0,3
Russia,0,2
Japan,0,1
