Category: Arts & Entertainment

Country,The Shawshank Redemption: (11/1/14 - 12/31/15),Fifty Shades of Grey: (11/1/14 - 12/31/15)
Philippines,0,100
Romania,0,87
Pakistan,0,71
Puerto Rico,0,52
Tunisia,0,47
Thailand,0,44
Indonesia,0,43
South Africa,0,42
Denmark,0,42
Singapore,0,40
Norway,0,36
New Zealand,0,35
Sri Lanka,0,35
Malaysia,0,34
Sweden,0,34
United Arab Emirates,0,33
United Kingdom,3,32
Ireland,0,32
Austria,0,32
Canada,3,30
Australia,3,30
Bangladesh,0,29
Germany,0,28
United States,2,28
Morocco,0,27
India,4,27
Egypt,7,26
Switzerland,0,24
Greece,0,22
Hong Kong,0,21
Portugal,0,21
Nigeria,0,19
Finland,0,19
Netherlands,0,18
Belgium,0,17
Saudi Arabia,0,17
Algeria,0,17
Bulgaria,0,16
Serbia,0,15
Bolivia,0,14
Israel,0,13
Hungary,0,12
Turkey,0,9
France,0,8
Mexico,0,7
Taiwan,0,5
Poland,0,5
Argentina,0,5
Vietnam,0,5
Italy,0,4
Spain,0,4
Brazil,0,3
Japan,0,1
