Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Insurgent: (2015)
Romania,0,100
Philippines,0,73
New Zealand,0,66
Pakistan,0,56
Australia,7,50
United States,4,42
Malaysia,0,38
Singapore,0,38
United Arab Emirates,0,38
Indonesia,0,37
Canada,5,37
Ireland,0,35
South Africa,0,33
United Kingdom,6,31
Italy,0,29
Thailand,0,27
Denmark,0,26
Sweden,0,26
Egypt,16,26
Netherlands,0,22
Belgium,0,21
Saudi Arabia,0,21
India,7,15
Germany,0,8
Turkey,0,8
Poland,0,7
France,0,6
Spain,0,5
Brazil,0,5
Mexico,0,5
