Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Terminator Genisys: (2015)
Singapore,0,100
Pakistan,0,97
Bangladesh,0,88
Malaysia,0,78
Philippines,0,75
Australia,9,74
United Arab Emirates,0,70
United Kingdom,8,69
Ireland,0,68
New Zealand,0,68
Canada,6,61
India,9,51
Hungary,0,50
United States,5,49
Romania,0,47
France,0,45
Czech Republic,0,40
Poland,0,40
South Africa,0,37
Finland,0,36
Sweden,0,34
Belgium,0,33
Austria,0,31
Thailand,0,31
Indonesia,0,30
Denmark,0,28
Germany,0,28
Greece,0,27
Italy,0,27
Netherlands,0,26
Saudi Arabia,0,25
Egypt,20,0
Turkey,0,14
Mexico,0,8
Spain,0,5
Brazil,0,3
