Category: Arts & Entertainment

Country,The Shawshank Redemption: (5/1/13 - 6/15/14),The Wolf of Wall Street: (5/1/13 - 6/15/14)
Georgia,0,100
Romania,0,54
Ireland,0,52
Italy,0,46
Australia,4,39
Croatia,0,38
New Zealand,0,36
Norway,0,35
Sweden,0,31
United Arab Emirates,0,31
Bulgaria,0,31
United Kingdom,4,31
Canada,3,29
Serbia,0,29
Denmark,0,28
Greece,0,28
Singapore,0,26
Pakistan,0,26
Switzerland,0,26
Austria,0,26
Hong Kong,0,25
South Africa,0,23
United States,2,22
Belgium,0,21
Netherlands,0,21
India,3,20
Morocco,0,20
Philippines,0,19
Israel,0,19
Egypt,0,18
Germany,0,18
Malaysia,0,17
Portugal,0,16
Finland,0,14
Saudi Arabia,0,13
Hungary,0,13
Chile,0,12
Turkey,2,11
South Korea,0,11
Mexico,0,10
Argentina,0,9
Indonesia,0,7
Thailand,0,7
Colombia,0,6
Poland,0,6
Spain,0,6
France,0,5
Brazil,0,3
