Category: Arts & Entertainment

Country,The Shawshank Redemption: (2013),World War Z: (2013)
Philippines,0,100
Singapore,0,66
New Zealand,0,50
Australia,4,50
United States,2,48
Canada,3,47
Ireland,0,45
Malaysia,0,40
United Kingdom,3,40
United Arab Emirates,0,38
Pakistan,0,37
Thailand,0,36
France,0,34
Hong Kong,0,32
Sweden,0,31
South Africa,0,30
Belgium,0,30
Norway,0,29
Romania,0,28
Germany,0,27
Denmark,0,27
Switzerland,0,25
Croatia,0,25
Poland,0,24
Austria,0,24
Netherlands,0,23
Serbia,0,23
Italy,0,22
Finland,0,19
Greece,0,19
India,3,18
Indonesia,0,18
Israel,0,17
Saudi Arabia,0,17
Egypt,0,16
Hungary,0,16
Portugal,0,15
Chile,0,12
Turkey,2,12
South Korea,0,11
Vietnam,0,11
Mexico,0,10
Taiwan,0,9
Argentina,0,8
Spain,0,6
Colombia,0,5
Brazil,0,4
Russia,0,4
Japan,0,3
