Category: Arts & Entertainment

Country,The Shawshank Redemption: (2016),The Conjuring 2: (2016)
Indonesia,0,100
Pakistan,0,87
Egypt,20,74
Malaysia,0,60
Romania,0,58
Bangladesh,0,55
Saudi Arabia,0,45
India,8,44
United Arab Emirates,0,44
New Zealand,0,42
Ireland,0,42
Morocco,0,41
Philippines,0,40
Singapore,0,35
Norway,0,34
Australia,7,32
United States,4,30
Algeria,0,27
United Kingdom,5,26
Canada,5,23
South Africa,0,22
Thailand,0,20
Vietnam,0,20
Sweden,0,20
Mexico,0,16
Italy,0,15
Netherlands,0,12
France,0,11
Argentina,0,8
Germany,0,7
Spain,0,5
Turkey,0,3
Brazil,0,2
