Category: Arts & Entertainment

Country,The Shawshank Redemption: (5/1/13 - 5/15/14),The Hobbit  The Desolation of Smaug: (5/1/13 - 5/15/14)
New Zealand,0,100
Romania,0,83
Philippines,0,80
Greece,0,72
Ireland,0,68
United Kingdom,14,64
Pakistan,0,58
Canada,11,53
Australia,16,52
Netherlands,0,42
Malaysia,0,40
United States,8,39
Egypt,0,38
Sweden,0,37
Belgium,0,32
India,13,31
Indonesia,0,26
Thailand,0,23
Turkey,0,16
Argentina,0,16
Mexico,0,14
Poland,0,11
Spain,0,8
Italy,0,8
Germany,0,7
Brazil,0,7
France,0,7
