Category: Arts & Entertainment

Country,The Shawshank Redemption: (2014),Noah: (2014)
Indonesia,0,100
South Africa,0,21
Kenya,0,21
Philippines,0,21
Singapore,0,20
New Zealand,0,19
United States,1,17
Australia,2,16
Canada,1,16
Malaysia,0,16
Romania,0,14
Nigeria,0,14
United Kingdom,1,13
Ireland,0,13
France,0,13
United Arab Emirates,0,13
Belgium,0,11
Norway,0,11
Denmark,0,11
Egypt,0,10
Pakistan,0,10
Switzerland,0,10
Austria,0,10
Italy,0,9
Netherlands,0,9
Sweden,0,9
Germany,0,8
Serbia,0,8
Thailand,0,7
Morocco,0,7
Argentina,0,6
Spain,0,6
India,1,6
Israel,0,6
Finland,0,6
Saudi Arabia,0,6
Portugal,0,5
Greece,0,5
Chile,0,5
Hungary,0,5
Iran,0,5
Mexico,0,4
Turkey,0,4
Colombia,0,3
Poland,0,3
Brazil,0,3
Vietnam,0,2
Japan,0,1
