Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),San Andreas: (2015)
Philippines,0,100
Pakistan,0,93
Venezuela,0,84
Romania,0,84
Azerbaijan,0,71
Dominican Republic,0,69
Argentina,0,65
Ecuador,0,65
United Arab Emirates,0,53
Malaysia,0,51
Colombia,0,48
Turkey,0,47
Indonesia,0,45
Algeria,0,45
Chile,0,44
New Zealand,0,41
Hungary,0,40
Thailand,0,36
Bulgaria,0,34
India,6,33
Singapore,0,33
Mexico,0,33
United States,3,33
Morocco,0,33
Poland,0,32
Australia,5,31
Peru,0,30
Ireland,0,30
Egypt,13,29
South Africa,0,28
Portugal,0,27
Canada,4,26
United Kingdom,5,26
Czech Republic,0,26
Israel,0,25
Saudi Arabia,0,25
France,0,22
Brazil,0,22
Belgium,0,19
Greece,0,18
Italy,0,15
Sweden,0,15
Netherlands,0,13
Germany,0,13
Spain,0,12
Russia,0,11
Ukraine,0,11
Vietnam,0,8
