Category: Arts & Entertainment

Country,The Shawshank Redemption: (3/1/13 - 3/31/14),Gravity: (3/1/13 - 3/31/14)
Philippines,0,100
New Zealand,0,85
United States,3,82
Singapore,0,79
Canada,4,78
Australia,5,75
Ireland,0,66
United Arab Emirates,0,60
United Kingdom,5,59
India,5,59
Indonesia,0,57
Hong Kong,0,49
Romania,0,48
France,0,48
South Africa,0,46
Mexico,0,46
Greece,0,45
Pakistan,0,45
Norway,0,42
Denmark,0,42
Malaysia,0,40
Portugal,0,40
Belgium,0,39
Spain,0,39
Chile,0,38
Croatia,0,35
Sweden,0,34
Netherlands,0,34
Switzerland,0,33
Finland,0,33
Argentina,0,30
Italy,0,29
Czech Republic,0,27
Germany,0,27
Israel,0,27
Ecuador,0,27
South Korea,0,26
Serbia,0,26
Egypt,0,25
Austria,0,25
Hungary,0,24
Venezuela,0,24
Peru,0,24
Colombia,0,22
Morocco,0,21
Poland,0,20
Iran,0,19
Turkey,2,19
Thailand,0,19
Saudi Arabia,0,18
Brazil,0,17
Ukraine,0,14
Taiwan,0,13
Vietnam,0,12
Russia,0,8
Japan,0,7
