Category: Arts & Entertainment

Country,The Shawshank Redemption: (11/1/13 - 1/31/15),Frozen: (11/1/13 - 1/31/15)
Philippines,0,100
Puerto Rico,0,70
Mexico,0,66
Malaysia,0,62
United States,0,50
El Salvador,0,49
United Kingdom,1,46
Singapore,0,46
Costa Rica,0,41
Venezuela,0,40
Indonesia,0,40
Australia,1,40
United Arab Emirates,0,40
New Zealand,0,39
Canada,1,39
Ecuador,0,38
Qatar,0,38
Panama,0,38
Ireland,0,38
Brazil,0,36
Guatemala,0,33
Thailand,0,32
Pakistan,0,32
Chile,0,31
Kuwait,0,31
Peru,0,31
Argentina,0,30
Romania,0,29
Dominican Republic,0,26
Uruguay,0,25
Spain,0,23
Italy,0,23
Colombia,0,23
Egypt,0,20
Hong Kong,0,20
Portugal,0,19
South Africa,0,18
Bangladesh,0,18
Saudi Arabia,0,18
Netherlands,1,16
Norway,0,15
Belgium,0,15
South Korea,0,13
Sweden,0,13
Croatia,0,13
Denmark,0,13
Bolivia,0,12
Serbia,0,10
Iran,0,10
Israel,0,9
Greece,0,9
Vietnam,0,9
Finland,0,9
India,1,8
Hungary,0,7
Switzerland,0,7
Taiwan,0,6
Poland,0,5
Turkey,0,4
Germany,0,4
France,0,3
Russia,0,2
Japan,0,2
