Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Inside Out: (2015)
Philippines,0,100
New Zealand,0,76
Singapore,0,69
Australia,4,63
United States,2,61
Canada,3,57
Hong Kong,0,56
Italy,0,55
Ireland,0,54
United Arab Emirates,0,47
United Kingdom,4,45
Malaysia,0,36
Romania,0,26
Pakistan,0,25
Saudi Arabia,0,24
South Africa,0,24
Israel,0,23
Spain,0,23
Denmark,0,23
Thailand,0,22
South Korea,0,22
Portugal,0,20
Egypt,9,20
Indonesia,0,20
Belgium,0,18
Sweden,0,18
Netherlands,0,17
Finland,0,15
India,4,15
Iran,0,15
Greece,0,13
Switzerland,0,12
Mexico,0,11
Chile,0,11
Vietnam,0,10
Taiwan,0,8
Argentina,0,8
Colombia,0,7
Germany,0,6
France,0,5
Poland,0,5
Turkey,0,4
Brazil,0,3
Japan,0,1
