Category: Arts & Entertainment

Country,The Shawshank Redemption: (5/1/14 - 3/31/15),The Maze Runner: (5/1/14 - 3/31/15)
Philippines,0,100
Singapore,0,83
New Zealand,0,77
Australia,7,75
Malaysia,0,67
United Arab Emirates,0,57
Romania,0,55
Norway,0,53
Canada,5,51
Sweden,0,47
United States,4,46
Thailand,0,44
Pakistan,0,41
Ireland,0,40
Netherlands,0,40
Denmark,0,38
Belgium,0,36
United Kingdom,6,35
Saudi Arabia,0,33
South Africa,0,32
Indonesia,0,31
Egypt,0,31
Israel,0,28
Greece,0,25
Chile,0,24
Mexico,0,20
Argentina,0,19
India,7,15
Turkey,0,14
Italy,0,13
France,0,12
Colombia,0,11
Poland,0,8
Spain,0,7
Brazil,0,7
Germany,0,7
