Category: Arts & Entertainment

Country,The Shawshank Redemption: (2013),Man of Steel: (2013)
Trinidad & Tobago,0,100
Philippines,0,65
Puerto Rico,0,52
Singapore,0,45
Bangladesh,0,42
Pakistan,0,42
United States,1,39
Sri Lanka,0,38
Malaysia,0,37
United Kingdom,2,36
Canada,1,36
Australia,2,34
Ireland,0,34
United Arab Emirates,0,33
New Zealand,0,30
South Africa,0,29
India,2,28
Dominican Republic,0,24
Indonesia,0,24
France,0,22
Hong Kong,0,20
Romania,0,19
Nigeria,0,18
Norway,0,17
Croatia,0,17
Thailand,0,16
Belgium,0,16
Greece,0,15
Denmark,0,15
Sweden,0,15
Mexico,0,14
Egypt,0,13
Chile,0,13
Serbia,0,13
Switzerland,0,12
Ecuador,0,11
Austria,0,11
Morocco,0,11
Israel,0,11
Germany,0,10
Portugal,0,10
Netherlands,0,10
Hungary,0,10
South Korea,0,10
Argentina,0,9
Finland,0,8
Czech Republic,0,8
Colombia,0,8
Saudi Arabia,0,8
Peru,0,7
Venezuela,0,7
Turkey,1,7
Spain,0,6
Taiwan,0,6
Vietnam,0,6
Italy,0,5
Brazil,0,5
Poland,0,5
Russia,0,1
Japan,0,1
