Category: Arts & Entertainment

Country,The Shawshank Redemption: (2014),Divergent: (2014)
Philippines,0,100
New Zealand,0,88
Australia,5,71
Romania,0,69
Singapore,0,68
Canada,4,63
United States,3,62
United Arab Emirates,0,45
Pakistan,0,40
Ireland,0,39
Belgium,0,39
United Kingdom,4,37
Norway,0,37
Denmark,0,37
Indonesia,0,33
Italy,0,30
Sweden,0,30
Malaysia,0,29
Netherlands,0,29
Hong Kong,0,29
Croatia,0,28
South Africa,0,28
Thailand,0,26
Saudi Arabia,0,25
Serbia,0,22
Switzerland,0,21
Israel,0,20
Egypt,0,19
Greece,0,19
Portugal,0,18
Finland,0,17
Hungary,0,16
India,4,12
France,0,11
Germany,0,8
Mexico,0,8
Turkey,0,8
Poland,0,6
Argentina,0,5
Spain,0,5
Brazil,0,3
