Category: Arts & Entertainment

Country,The Shawshank Redemption: (5/1/14 - 5/31/15),Taken 3: (5/1/14 - 5/31/15)
Pakistan,0,100
Romania,0,90
Philippines,0,84
Morocco,0,63
United Arab Emirates,0,62
France,0,50
Algeria,0,49
Singapore,0,48
United Kingdom,8,37
Belgium,0,36
Australia,10,35
Denmark,0,35
Ireland,0,33
South Africa,0,32
Saudi Arabia,0,31
Sweden,0,30
Switzerland,0,30
Malaysia,0,29
India,9,27
Egypt,0,26
Canada,8,24
United States,5,23
Netherlands,0,23
Indonesia,0,22
Germany,0,20
Thailand,0,18
Italy,0,12
Argentina,0,11
Mexico,0,10
Poland,0,9
Turkey,0,7
