Category: Arts & Entertainment

Country,The Shawshank Redemption: (2013),Oblivion: (2013)
Singapore,0,100
New Zealand,0,98
Australia,8,94
Philippines,0,89
Ireland,0,86
Canada,6,84
Norway,0,84
United States,4,80
Sweden,0,79
France,0,75
United Kingdom,7,74
Chile,0,70
Croatia,0,68
Romania,0,68
Hungary,0,68
Spain,0,67
Germany,0,65
Denmark,0,64
Belgium,0,64
South Africa,0,64
Czech Republic,0,63
Finland,0,61
Switzerland,0,60
Netherlands,0,60
United Arab Emirates,0,59
Pakistan,0,58
Italy,0,58
Austria,0,56
Portugal,0,53
Malaysia,0,53
Argentina,0,53
Serbia,0,51
Hong Kong,0,51
Greece,0,47
Mexico,0,47
Turkey,0,44
Poland,0,37
India,8,37
Colombia,0,35
South Korea,0,34
Thailand,0,33
Indonesia,0,32
Israel,0,31
Brazil,0,30
Venezuela,0,29
Peru,0,26
Egypt,0,26
Russia,0,25
Ukraine,0,22
Taiwan,0,22
Vietnam,0,11
Japan,0,9
