Category: Arts & Entertainment

Country,The Shawshank Redemption: (5/1/14 - 5/31/15),The Interview: (5/1/14 - 5/31/15)
Canada,7,100
United States,5,96
New Zealand,0,87
Australia,10,83
Singapore,0,73
Philippines,0,71
Ireland,0,65
United Kingdom,8,60
United Arab Emirates,0,45
Sweden,0,41
Norway,0,41
Pakistan,0,40
South Africa,0,36
Denmark,0,33
Romania,0,33
Malaysia,0,29
Austria,0,28
Switzerland,0,23
Netherlands,0,23
India,8,21
Germany,0,20
Spain,0,16
Indonesia,0,15
France,0,14
Mexico,0,14
Argentina,0,12
Thailand,0,9
Italy,0,9
Poland,0,9
Vietnam,0,8
Turkey,0,6
Brazil,0,5
Japan,0,3
