Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Jurassic World: (2015)
Mauritius,0,100
Sri Lanka,0,48
Philippines,0,40
Puerto Rico,0,36
United States,1,35
Singapore,0,35
Qatar,0,33
Australia,2,33
Pakistan,0,33
United Arab Emirates,0,32
Canada,1,30
Malaysia,0,29
United Kingdom,2,29
Mexico,0,28
New Zealand,0,28
France,0,26
Ireland,0,26
Chile,0,25
India,2,25
Ecuador,0,24
Costa Rica,0,23
Thailand,0,23
Belgium,0,22
Guatemala,0,21
Spain,0,21
Uruguay,0,20
Peru,0,19
Bangladesh,0,19
Argentina,0,19
Hungary,0,18
Italy,0,17
Denmark,0,17
Germany,0,16
Romania,0,16
Norway,0,16
Venezuela,0,15
Switzerland,0,15
Indonesia,0,15
Sweden,0,15
Austria,0,15
Netherlands,0,14
Poland,0,14
South Africa,0,13
Hong Kong,0,13
Brazil,0,12
Colombia,0,12
Croatia,0,11
Saudi Arabia,0,11
Greece,0,9
Portugal,0,9
Bolivia,0,9
Finland,0,9
Egypt,4,9
Morocco,0,7
Turkey,0,6
Israel,0,6
Vietnam,0,5
South Korea,0,5
Taiwan,0,3
Japan,0,1
