Category: Arts & Entertainment

Country,The Shawshank Redemption: (2014),22 Jump Street: (2014)
New Zealand,0,100
Australia,7,80
Ireland,0,78
Canada,5,78
United Kingdom,5,71
United States,3,59
Philippines,0,54
Poland,0,50
Romania,0,50
Norway,0,49
Singapore,0,44
Denmark,0,42
Sweden,0,42
Czech Republic,0,42
Croatia,0,39
South Africa,0,38
United Arab Emirates,0,36
Belgium,0,32
Netherlands,0,32
Israel,0,30
Hungary,0,28
Morocco,0,27
Austria,0,26
Pakistan,0,26
Switzerland,0,26
Malaysia,0,24
Finland,0,24
Germany,0,23
France,0,21
Saudi Arabia,0,20
Greece,0,18
Indonesia,0,14
India,6,14
Mexico,0,11
Thailand,0,11
Italy,0,9
Argentina,0,9
Vietnam,0,6
Turkey,0,4
Spain,0,4
Brazil,0,2
