Category: Arts & Entertainment

Country,The Shawshank Redemption: (2013),Now You See Me: (2013)
Philippines,0,100
Singapore,0,94
Romania,0,80
New Zealand,0,68
Australia,9,65
Thailand,0,64
United Arab Emirates,0,64
Croatia,0,59
Pakistan,0,53
Ireland,0,52
Malaysia,0,50
Canada,6,47
United Kingdom,8,42
Netherlands,0,40
Indonesia,0,39
United States,4,39
South Africa,0,37
Portugal,0,34
Sweden,0,33
Israel,0,29
Denmark,0,29
India,8,29
Egypt,0,29
Greece,0,25
Belgium,0,25
Saudi Arabia,0,22
Italy,0,19
Vietnam,0,15
Argentina,0,14
Germany,0,10
Turkey,0,10
Mexico,0,10
Poland,0,9
France,0,6
Spain,0,6
Brazil,0,5
