Category: Arts & Entertainment

Country,The Shawshank Redemption: (2013),The Wolverine: (2013)
Philippines,0,100
Pakistan,0,93
Singapore,0,92
Australia,10,68
Romania,0,67
Canada,8,63
New Zealand,0,60
United States,5,57
Malaysia,0,56
Ireland,0,53
United Kingdom,9,53
India,10,47
South Africa,0,43
Thailand,0,41
Egypt,0,33
Sweden,0,32
Greece,0,32
Denmark,0,32
Belgium,0,31
Indonesia,0,30
Netherlands,0,29
Turkey,0,26
Mexico,0,21
Saudi Arabia,0,20
Vietnam,0,20
Argentina,0,16
Poland,0,12
France,0,9
Italy,0,9
Brazil,0,8
Germany,0,7
Spain,0,6
