Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Focus: (2015)
Romania,0,100
Germany,0,77
Australia,6,69
Philippines,0,68
New Zealand,0,63
Canada,4,59
South Africa,0,59
Italy,0,59
United Kingdom,5,59
Ireland,0,58
United States,3,58
Singapore,0,57
Poland,0,56
Belgium,0,56
United Arab Emirates,0,51
Netherlands,0,49
Croatia,0,46
Argentina,0,44
Switzerland,0,44
Indonesia,0,43
Spain,0,42
Slovakia,0,42
Greece,0,41
Norway,0,39
Sweden,0,39
Mexico,0,38
Serbia,0,37
Bulgaria,0,37
Portugal,0,36
Hungary,0,36
Czech Republic,0,36
Algeria,0,35
Malaysia,0,35
Pakistan,0,35
Morocco,0,35
Hong Kong,0,33
Denmark,0,31
Turkey,0,31
Colombia,0,30
Chile,0,30
Austria,0,30
Egypt,13,30
Finland,0,28
Ecuador,0,27
Venezuela,0,27
Saudi Arabia,0,26
Israel,0,26
Peru,0,25
India,6,25
France,0,20
Thailand,0,20
Taiwan,0,18
Iran,0,17
Brazil,0,16
Vietnam,0,8
Russia,0,6
Japan,0,4
