Category: Arts & Entertainment

Country,The Shawshank Redemption: (2013),Pacific Rim: (2013)
Philippines,0,100
Singapore,0,78
Malaysia,0,63
Thailand,0,53
New Zealand,0,49
Canada,5,45
Australia,7,44
United States,4,38
Romania,0,38
Indonesia,0,32
Ireland,0,32
United Kingdom,6,30
South Africa,0,29
France,0,28
India,6,25
Pakistan,0,25
Italy,0,23
Spain,0,23
Poland,0,22
Belgium,0,22
Chile,0,19
Mexico,0,19
Sweden,0,18
Taiwan,0,16
Germany,0,16
Netherlands,0,16
Vietnam,0,14
Argentina,0,11
Colombia,0,10
Turkey,4,8
Brazil,0,7
