Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Mad Max  Fury Road: (2015)
Australia,7,100
New Zealand,0,81
Canada,5,68
Pakistan,0,67
Ireland,0,66
United States,4,62
Philippines,0,57
Bangladesh,0,57
United Kingdom,6,56
United Arab Emirates,0,55
Croatia,0,51
Singapore,0,50
France,0,47
Finland,0,42
Romania,0,42
Norway,0,38
Malaysia,0,38
South Africa,0,37
India,7,36
Serbia,0,34
Switzerland,0,33
Austria,0,32
Germany,0,32
Belgium,0,30
Sweden,0,30
Hungary,0,28
Denmark,0,27
Italy,0,27
Netherlands,0,23
Greece,0,21
Iran,0,21
Turkey,0,20
Saudi Arabia,0,20
Mexico,0,20
Chile,0,19
Egypt,0,19
Indonesia,0,17
Argentina,0,15
Spain,0,15
Thailand,0,15
Colombia,0,13
Poland,0,12
Brazil,0,11
Russia,0,6
Vietnam,0,6
Japan,0,3
