Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Minions: (2015)
Argentina,0,100
Uruguay,0,98
Honduras,0,96
Nicaragua,0,94
Paraguay,0,89
Mexico,0,83
El Salvador,0,81
Guatemala,0,78
Chile,0,68
Panama,0,58
Costa Rica,0,56
Philippines,0,55
Ecuador,0,54
Colombia,0,52
Peru,0,52
Puerto Rico,0,44
Spain,0,42
Portugal,0,40
Brazil,0,39
Dominican Republic,0,38
Venezuela,0,36
France,0,32
Italy,0,32
Romania,0,31
Belgium,0,29
Austria,0,28
Germany,0,28
Switzerland,0,27
New Zealand,0,27
Hong Kong,0,27
Sri Lanka,0,26
Singapore,0,25
Canada,1,24
United Kingdom,1,24
Ireland,0,23
Australia,1,23
Netherlands,0,22
Indonesia,0,22
South Africa,0,22
Bolivia,0,22
United Arab Emirates,0,21
Slovenia,0,21
Denmark,0,20
Greece,0,20
Bangladesh,0,20
Pakistan,0,20
Malaysia,0,19
Croatia,0,19
United States,1,19
Serbia,0,19
Norway,0,18
Bulgaria,0,16
India,1,15
Vietnam,0,14
Sweden,0,14
Morocco,0,13
Slovakia,0,12
Hungary,0,12
Finland,0,10
Saudi Arabia,0,9
Czech Republic,0,9
Egypt,0,9
Israel,0,9
Thailand,0,7
Iran,0,6
Turkey,0,4
Poland,0,4
Taiwan,0,3
Japan,0,1
