Category: Arts & Entertainment

Country,The Shawshank Redemption: (2014),Rio 2: (2014)
Pakistan,0,100
Sri Lanka,0,95
Ecuador,0,90
Mexico,0,73
Colombia,0,65
Peru,0,64
Romania,0,62
United Arab Emirates,0,57
Argentina,0,53
Philippines,0,52
Chile,0,49
Venezuela,0,48
Brazil,0,47
France,0,33
Belgium,0,31
Portugal,0,26
Poland,0,26
India,6,23
Malaysia,0,23
Australia,7,22
Canada,5,21
United States,4,20
Thailand,0,20
Switzerland,0,20
Turkey,0,17
Saudi Arabia,0,16
Vietnam,0,16
United Kingdom,6,16
Spain,0,16
Indonesia,0,14
Netherlands,0,13
Italy,0,11
Germany,0,9
