Category: Arts & Entertainment

Country,The Shawshank Redemption: (3/1/14 - 3/31/15),Interstellar: (3/1/14 - 3/31/15)
Singapore,0,100
Romania,0,91
India,8,89
New Zealand,0,74
Canada,6,71
Czech Republic,0,71
Australia,10,71
United States,5,66
Hong Kong,0,66
United Arab Emirates,0,65
Croatia,0,65
France,0,61
Ireland,0,60
Slovakia,0,59
Poland,0,58
Egypt,0,58
Norway,0,58
United Kingdom,7,57
Philippines,0,57
Denmark,0,55
Sweden,0,54
Pakistan,0,50
Malaysia,0,50
Italy,0,49
Belgium,0,48
Portugal,0,47
Switzerland,0,47
Serbia,0,46
Spain,0,43
Finland,0,42
Germany,0,41
Greece,0,40
Austria,0,40
Netherlands,0,38
Turkey,0,35
Hungary,0,35
Chile,0,34
South Korea,0,32
Thailand,0,28
Israel,0,28
Bolivia,0,27
South Africa,0,26
Indonesia,0,25
Saudi Arabia,0,18
Argentina,0,18
Mexico,0,17
Taiwan,0,16
Colombia,0,14
Russia,0,10
Brazil,0,10
